qm_transcribed,differences,query_text,match_text,match_start,match_end,dataset,query,reference,ref_dur,ref_text
aŋe; ane,"[ŋ, n]",ahenge,ahene,0.34,1.17,gbb-lg,ahenge_AR_3cf4f2f2,LGK-CD2-18-30,3.11,ahene      aheneynenke
aɳe; ane,"[ɳ, n]",aherne,ahene,0.32,0.91,gbb-lg,aherne_AR_3e50bcbb,LGK-CD2-18-25,3.04,ahene      ahenarrenke
akaɾe; aɾkaɾe,"[_, ɾ]",akarre,arrkarre,1.21,1.86,gbb-lg,akarre_AR_7826d413,LGK-CD1-24-18,2.23,arwele tharrkarre
ilence; ilenke,"[c, k]",ilentye,ilenke,3.01,3.95,gbb-lg,ilentye_AR_80e95e1b,LGK-CD1-30-01,4.68,Kwere-penhe arntwelke re eylenke
aŋkenke; aŋkene,"[k, _]",angkenke,angkene,0.69,1.17,gbb-lg,angkenke_AR_12a322f2,LGK-CD1-15-05,1.5,kartarte nge angkene
ilpakenke; ilpaɾenke,"[k, ɾ]",ilpakenke,ilparrenke,1.47,2.38,gbb-pd,T45-W-30,T24-S-14,2.91,Ngimarrele iterrtyewe ilparrenke arntwe.
wai; wari,"[_, r]",wai,wari,1.59,1.95,pjt-sw01,wai,SW01-20190531_01-01__226.02,3.46,"munu iitji wiya nganampa kuwari, wituwitu ngaṟanyi"
juɳma; junma,"[ɳ, n]",jurnma,jun maa,1.99,2.45,wrm-pd,T08-W-3,T11-S-5,5.02,Kurntalalpi ngini ajjul marranta maanjun maanjun karnanganja.
jukujuku; jukunjuku,"[_, n]",juku juku,jukunju-ku,2.33,2.95,wrm-pd,T09-W-11,T29-S-15,2.97,Ngalanya purluju kari mukku-ku tarn jukunju-ku.
aterance; aʈerance,"[t, ʈ]",aterrantye,arterrantye,1.28,2.11,gbb-pd,T43-W-3,T40-S-5,2.129,Relhele ilperalke arterrantye.
kʊtere; kʊʈere,"[t, ʈ]",kwetere,kwertere,2.01,2.65,gbb-pd,T44-W-23,T44-S-24,3.555,Arelhele arawerrnge akakele kwertere arntarrtyerrantye.
atnteyane; anteyane,"[t, _]",atnteyane,anteyane,1.06,1.89,gbb-pd,T47-W-1,T02-S-10,1.935,Artweye erlkwe anteyane.
pʊte ; pʊtpale,"[_, tpa]",pwete,pwetpale,1.03,1.39,gbb-pd,T51-W-4,T45-S-30,2.892,Ilpakenke pwetpale atewenhanthe artweyele amerne.
ɾpʊɾe; ɾpʊɭe,"[ɾ, ɭ]",rrpwere,rrpwerle,1.53,2.12,gbb-pd,T24-W-10,T44-S-5,4.05,"Atyweretye anenke errpwerle, rntere-rntere, arltere tyampe."
akepe; akeʎa,"[p, ʎ]; [e#, a#]",akepe,akely-a,2.93,3.39,gbb-lg,akepe_AR_226e79e,LGK-CD2-15-09,5.31,Arrknge kwathenhe-penhe weye akely-apeke re aynenyerre.
akʊɾe; elkʊɾe,"[#a, #e]; [_, l]",akwerre,elkwerre,50.71,51.33,gbb-lg,akwerre_AR_29270d09,LGK-CD2-21-16,56.91,akanpere   anthenayne   mwernenye    aylke   mpwarle     ngkwethe    mwernarte    entwemele    aywerrpe    anwengere    kwene     arrwekele    antengetheye    elkwerre    rlweynteme
